Species,Series,Temp, Polyp,Date,Age,Cum N,R,R 1
Cf,A,12,19C,07/12/2013,33,4,1.25992104989487,1.03385163721665
Cf,A,12,19C,10/12/2013,36,4,0,1.03098742495292
Cf,A,12,19C,13/12/2013,39,4,0,1.0285700594374
Cf,A,12,19C,16/12/2013,42,4,0,1.02650254363692
Cf,A,12,19C,19/12/2013,45,4,0,1.02471405856166
Cf,A,12,19C,22/12/2013,48,4,0,1.02315169047767
Cf,A,12,19C,25/12/2013,51,6,1.25992104989487,1.03206082690945
Cf,A,12,19C,28/12/2013,54,6,0,1.03025300271851
Cf,A,12,19C,31/12/2013,57,6,0,1.02863816021572
Cf,A,12,19C,03/01/2014,60,8,1.25992104989487,1.03296347963311
Cf,A,12,19C,07/01/2014,63,8,0,1.03136942980728
Cf,A,12,19C,10/01/2014,66,8,0,1.02992242833251
Cf,A,12,19C,13/01/2014,69,11,1.44224957030741,1.0339338492394
Cf,A,12,19C,16/01/2014,72,11,0,1.03249721500099
Cf,A,12,19C,19/01/2014,75,11,0,1.03117727459306
Cf,A,12,19C,22/01/2014,78,12,1,1.03121966975458
Cf,A,12,19C,25/01/2014,81,12,0,1.03004618943033
